+-----------+-------+
|    CID    | Value |
| 537044602 |  594  |
| 537050603 |  593  |
| 537048461 |  592  |
| 537039011 |  591  |
| 537035468 |  590  |
| 537041128 |  590  |
| 537035404 |  587  |
| 537035702 |  587  |
| 537038242 |  587  |
| 537040983 |  587  |
| 537041389 |  587  |
| 537049821 |  585  |
| 537048099 |  585  |
| 537048277 |  585  |
| 537042572 |  585  |
| 537039680 |  584  |
| 537050572 |  583  |
| 537040597 |  583  |
| 537049522 |  583  |
| 537048263 |  582  |
| 537037600 |  582  |
| 537033182 |  582  |
| 537048389 |  581  |
| 537040798 |  580  |
| 537049104 |  579  |
| 537050379 |  579  |
| 537047363 |  577  |
| 537046593 |  575  |
| 537040379 |  575  |
| 537044962 |  573  |
| 537044430 |  572  |
| 537031557 |  572  |
| 537049792 |  572  |
| 537031942 |  570  |
| 537042075 |  570  |
| 537037586 |  569  |
| 537048274 |  569  |
| 537048682 |  569  |
| 537042148 |  569  |
| 537035997 |  568  |
| 537038798 |  568  |
| 537042940 |  566  |
| 537043866 |  565  |
| 537050091 |  565  |
| 537049108 |  564  |
| 537036018 |  562  |
| 537045340 |  562  |
| 537049547 |  562  |
| 537038764 |  560  |
| 537049816 |  560  |
| 537038460 |  560  |
| 537038155 |  559  |
| 537049864 |  559  |
| 537036745 |  558  |
| 537049467 |  558  |
| 537049674 |  556  |
| 537035357 |  554  |
| 537033590 |  554  |
| 537045865 |  553  |
| 537050440 |  552  |
| 537043525 |  551  |
| 537045214 |  551  |
| 537039140 |  550  |
| 537048432 |  550  |
| 537047423 |  549  |
| 537041718 |  549  |
| 537030581 |  548  |
| 537031127 |  548  |
| 537050542 |  548  |
| 537038010 |  547  |
| 537031841 |  547  |
| 537050427 |  545  |
| 537045949 |  545  |
| 537032362 |  545  |
| 537039657 |  544  |
| 537043018 |  543  |
| 537036842 |  543  |
| 537037918 |  541  |
| 537046360 |  541  |
| 537035087 |  540  |
| 537048307 |  540  |
| 537034513 |  540  |
| 537037217 |  539  |
| 537042116 |  539  |
| 537044464 |  538  |
| 537047848 |  538  |
| 537041527 |  538  |
| 537049549 |  538  |
| 537039134 |  537  |
| 537049914 |  537  |
| 537038581 |  536  |
| 537038757 |  536  |
| 537043129 |  535  |
| 537045933 |  535  |
| 537048410 |  535  |
| 537041377 |  535  |
| 537036743 |  534  |
| 537050347 |  534  |
| 537047645 |  534  |
| 537050277 |  534  |
| 537048441 |  533  |
| 537048873 |  532  |
| 537036823 |  532  |
| 537032338 |  532  |
| 537034005 |  532  |
| 537042557 |  532  |
| 537041852 |  531  |
| 537030393 |  531  |
| 537036722 |  530  |
| 537036223 |  529  |
| 537039105 |  529  |
| 537031934 |  529  |
| 537036661 |  528  |
| 537038471 |  528  |
| 537031041 |  528  |
| 537049236 |  527  |
| 537039687 |  526  |
| 537034477 |  525  |
| 537032551 |  525  |
| 537043937 |  523  |
| 537037077 |  523  |
| 537048185 |  522  |
| 537037376 |  521  |
| 537046085 |  521  |
| 537050046 |  521  |
| 537050160 |  521  |
| 537035756 |  520  |
| 537030755 |  520  |
| 537050318 |  519  |
| 537034128 |  519  |
| 537037850 |  518  |
| 537038524 |  518  |
| 537033588 |  518  |
| 537044763 |  517  |
| 537049569 |  517  |
| 537043704 |  516  |
| 537037508 |  516  |
| 537035058 |  515  |
| 537045976 |  515  |
| 537038526 |  515  |
| 537041260 |  515  |
| 537040619 |  515  |
| 537042641 |  515  |
| 537033508 |  514  |
| 537045207 |  514  |
| 537037496 |  514  |
| 537049643 |  514  |
| 537041528 |  513  |
| 537049759 |  513  |
| 537022037 |  512  |
| 537040948 |  512  |
| 537041107 |  512  |
| 537049772 |  512  |
| 537032024 |  511  |
| 537047615 |  510  |
| 537033652 |  510  |
| 537044999 |  509  |
| 537037540 |  509  |
| 537048091 |  509  |
| 537041391 |  509  |
| 537041875 |  508  |
| 537041406 |  508  |
| 537047062 |  507  |
| 537031367 |  507  |
| 537041384 |  507  |
| 537049602 |  507  |
| 537037673 |  506  |
| 537050494 |  506  |
| 537039114 |  505  |
| 537035343 |  504  |
| 537050240 |  504  |
| 537037678 |  503  |
| 537042428 |  503  |
| 537041672 |  502  |
| 537048733 |  502  |
| 537038470 |  502  |
| 537033063 |  502  |
| 537037377 |  501  |
| 537046264 |  501  |
| 537040389 |  501  |
| 537042041 |  501  |
| 537047185 |  500  |
| 537037710 |  500  |
| 537047603 |  499  |
| 537036011 |  498  |
| 537036824 |  498  |
| 537042026 |  498  |
| 537033774 |  497  |
| 537044365 |  495  |
| 537047655 |  495  |
| 537048159 |  495  |
| 537049753 |  495  |
| 537038159 |  494  |
| 537049203 |  494  |
| 537034368 |  494  |
| 537030937 |  493  |
| 537043933 |  492  |
| 537036044 |  492  |
| 537038858 |  492  |
| 537039965 |  492  |
| 537039801 |  492  |
| 537034969 |  491  |
| 537011575 |  491  |
| 537046140 |  491  |
| 537038946 |  490  |
| 537030779 |  490  |
| 537040974 |  490  |
| 537041663 |  490  |
| 537037903 |  489  |
| 537040233 |  489  |
| 537040392 |  489  |
| 537033503 |  488  |
| 537037974 |  488  |
| 537043751 |  487  |
| 537030998 |  487  |
| 537048703 |  487  |
| 537037667 |  487  |
| 537042233 |  487  |
| 537042988 |  485  |
| 537044849 |  485  |
| 537031990 |  485  |
| 537042097 |  485  |
| 537035026 |  484  |
| 537048013 |  484  |
| 537030252 |  484  |
| 537030554 |  484  |
| 537036867 |  483  |
| 537033740 |  482  |
| 537033696 |  482  |
| 537039926 |  482  |
| 537045534 |  481  |
| 537030558 |  481  |
| 537047092 |  481  |
| 537040160 |  481  |
| 537042327 |  481  |
| 537045891 |  480  |
| 537040847 |  480  |
| 537038698 |  480  |
| 537043718 |  479  |
| 537036343 |  479  |
| 537038430 |  479  |
| 537049165 |  479  |
| 537030582 |  479  |
| 537043905 |  478  |
| 537038468 |  478  |
| 537037492 |  478  |
| 537038103 |  478  |
| 537039141 |  478  |
| 537040222 |  478  |
| 537038443 |  477  |
| 537030253 |  477  |
| 537049106 |  477  |
| 537037877 |  476  |
| 537047760 |  476  |
| 537045050 |  475  |
| 537045927 |  475  |
| 537031734 |  475  |
| 537031593 |  475  |
| 537036610 |  474  |
| 537050191 |  474  |
| 537032573 |  474  |
| 537048706 |  473  |
| 537041039 |  473  |
| 537034259 |  473  |
| 537045720 |  472  |
| 537037437 |  472  |
| 537040438 |  472  |
| 537046707 |  472  |
| 537037019 |  472  |
| 537040858 |  471  |
| 537038745 |  470  |
| 537044974 |  469  |
| 537020627 |  469  |
| 537038050 |  469  |
| 537049927 |  469  |
| 537042785 |  468  |
| 537042934 |  468  |
| 537048028 |  467  |
| 537048287 |  467  |
| 537050407 |  467  |
| 537039163 |  466  |
| 537037383 |  466  |
| 537044605 |  466  |
| 537049352 |  466  |
| 537042384 |  466  |
| 537038479 |  465  |
| 537043063 |  463  |
| 537036756 |  463  |
| 537044976 |  463  |
| 537039306 |  463  |
| 537037688 |  463  |
| 537045930 |  463  |
| 537048079 |  463  |
| 537048255 |  463  |
| 537050013 |  463  |
| 537047153 |  462  |
| 537030325 |  462  |
| 537039257 |  462  |
| 537047942 |  462  |
| 537033512 |  462  |
| 537042043 |  462  |
| 537042342 |  462  |
| 537034666 |  462  |
| 537047155 |  461  |
| 537049977 |  461  |
| 537035280 |  460  |
| 537043887 |  460  |
| 537040672 |  460  |
| 537045149 |  459  |
| 537034175 |  459  |
| 537049264 |  459  |
| 537034459 |  459  |
| 537046167 |  458  |
| 537049093 |  458  |
| 537037882 |  457  |
| 537038262 |  457  |
| 537030392 |  457  |
| 537040797 |  457  |
| 537042932 |  457  |
| 537036183 |  456  |
| 537049136 |  456  |
| 537046428 |  456  |
| 537047021 |  456  |
| 537050758 |  456  |
| 537047680 |  455  |
| 537043360 |  455  |
| 537036873 |  455  |
| 537045160 |  455  |
| 537037645 |  455  |
| 537042689 |  455  |
| 537035037 |  454  |
| 537036106 |  453  |
| 537036216 |  453  |
| 537041242 |  453  |
| 537035259 |  452  |
| 537037812 |  452  |
| 537049031 |  452  |
| 537028173 |  452  |
| 537040950 |  452  |
| 537049910 |  451  |
| 537047220 |  451  |
| 537034553 |  451  |
| 537038086 |  450  |
| 537034293 |  450  |
| 537047822 |  449  |
| 537034448 |  449  |
| 537034573 |  449  |
| 537047229 |  448  |
| 537043357 |  447  |
| 537032184 |  447  |
| 537036107 |  447  |
| 537037630 |  447  |
| 537047144 |  447  |
| 537048400 |  447  |
| 537049393 |  447  |
| 537034478 |  447  |
| 537050641 |  447  |
| 537040142 |  446  |
| 537038490 |  446  |
| 537039381 |  446  |
| 537033993 |  446  |
| 537037284 |  445  |
| 537046357 |  445  |
| 537048530 |  445  |
| 537050344 |  445  |
| 537036717 |  444  |
| 537041416 |  444  |
| 537041934 |  443  |
| 537039267 |  443  |
| 537049055 |  443  |
| 537033200 |  443  |
| 537042080 |  442  |
| 537048704 |  441  |
| 537030690 |  441  |
| 537039693 |  441  |
| 537032349 |  441  |
| 537032944 |  441  |
| 537040075 |  441  |
| 537044113 |  440  |
| 537036460 |  440  |
| 537038428 |  440  |
| 537031015 |  440  |
| 537041660 |  440  |
| 537033793 |  440  |
| 537050258 |  440  |
| 537048125 |  439  |
| 537044227 |  438  |
| 537036709 |  438  |
| 537045253 |  438  |
| 537046494 |  438  |
| 537038827 |  438  |
| 537031773 |  438  |
| 537050288 |  438  |
| 537034317 |  438  |
| 537033416 |  437  |
| 537043870 |  437  |
| 537039181 |  437  |
| 537033606 |  436  |
| 537040734 |  436  |
| 537032566 |  436  |
| 537033329 |  436  |
| 537044139 |  435  |
| 537036322 |  435  |
| 537045039 |  435  |
| 537045931 |  435  |
| 537039219 |  435  |
| 537040555 |  435  |
| 537049760 |  435  |
| 537036110 |  435  |
| 537036443 |  434  |
| 537050267 |  434  |
| 537037167 |  434  |
| 537036904 |  433  |
| 537045531 |  433  |
| 537037248 |  433  |
| 537044195 |  433  |
| 537033555 |  432  |
| 537037163 |  432  |
| 537037366 |  432  |
| 537045929 |  432  |
| 537048445 |  432  |
| 537034419 |  431  |
| 537038936 |  431  |
| 537048986 |  431  |
| 537041407 |  431  |
| 537042207 |  431  |
| 537048332 |  431  |
| 537043386 |  430  |
| 537043407 |  430  |
| 537043651 |  430  |
| 537044295 |  430  |
| 537037493 |  430  |
| 537037654 |  430  |
| 537040943 |  430  |
| 537040580 |  430  |
| 537032532 |  430  |
| 537033748 |  430  |
| 537043720 |  429  |
| 537035692 |  429  |
| 537039245 |  429  |
| 537034447 |  429  |
| 537050081 |  429  |
| 537030642 |  428  |
| 537042269 |  428  |
| 537042704 |  428  |
| 537037932 |  427  |
| 537038169 |  427  |
| 537038320 |  427  |
| 537035465 |  426  |
| 537037255 |  426  |
| 537039424 |  426  |
| 537031490 |  426  |
| 537036712 |  425  |
| 537047900 |  425  |
| 537044556 |  424  |
| 537032970 |  424  |
| 537039950 |  424  |
| 537038516 |  423  |
| 537038135 |  423  |
